group,kind,dataset,sample,source,frame_index,video_seconds,selection_score,crop_xywh,image
imaging_0706,imaging,0706_1,1,0706_123_1.5x_split_screen.mp4,156,5.2,406.5817,"[240, 56, 1440, 156]",.work/frames/imaging_0706/0706_1/frame_01.png
imaging_0706,imaging,0706_1,2,0706_123_1.5x_split_screen.mp4,180,6.0,411.8459,"[240, 56, 1440, 156]",.work/frames/imaging_0706/0706_1/frame_02.png
imaging_0706,imaging,0706_1,3,0706_123_1.5x_split_screen.mp4,410,13.667,415.3805,"[240, 56, 1440, 156]",.work/frames/imaging_0706/0706_1/frame_03.png
imaging_0706,imaging,0706_1,4,0706_123_1.5x_split_screen.mp4,516,17.2,498.4542,"[240, 56, 1440, 156]",.work/frames/imaging_0706/0706_1/frame_04.png
imaging_0706,imaging,0706_1,5,0706_123_1.5x_split_screen.mp4,588,19.6,548.8131,"[240, 56, 1440, 156]",.work/frames/imaging_0706/0706_1/frame_05.png
imaging_0706,imaging,0706_1,6,0706_123_1.5x_split_screen.mp4,780,26.0,458.7302,"[240, 56, 1440, 156]",.work/frames/imaging_0706/0706_1/frame_06.png
imaging_0706,imaging,0706_2,1,0706_123_1.5x_split_screen.mp4,156,5.2,497.9963,"[240, 428, 1440, 145]",.work/frames/imaging_0706/0706_2/frame_01.png
imaging_0706,imaging,0706_2,2,0706_123_1.5x_split_screen.mp4,180,6.0,1124.4321,"[240, 428, 1440, 145]",.work/frames/imaging_0706/0706_2/frame_02.png
imaging_0706,imaging,0706_2,3,0706_123_1.5x_split_screen.mp4,420,14.0,770.565,"[240, 428, 1440, 145]",.work/frames/imaging_0706/0706_2/frame_03.png
imaging_0706,imaging,0706_2,4,0706_123_1.5x_split_screen.mp4,449,14.967,809.0872,"[240, 428, 1440, 145]",.work/frames/imaging_0706/0706_2/frame_04.png
imaging_0706,imaging,0706_2,5,0706_123_1.5x_split_screen.mp4,588,19.6,743.1825,"[240, 428, 1440, 145]",.work/frames/imaging_0706/0706_2/frame_05.png
imaging_0706,imaging,0706_2,6,0706_123_1.5x_split_screen.mp4,741,24.7,1472.9307,"[240, 428, 1440, 145]",.work/frames/imaging_0706/0706_2/frame_06.png
imaging_0706,imaging,0706_3,1,0706_123_1.5x_split_screen.mp4,75,2.5,513.113,"[240, 780, 1440, 148]",.work/frames/imaging_0706/0706_3/frame_01.png
imaging_0706,imaging,0706_3,2,0706_123_1.5x_split_screen.mp4,252,8.4,392.9412,"[240, 780, 1440, 148]",.work/frames/imaging_0706/0706_3/frame_02.png
imaging_0706,imaging,0706_3,3,0706_123_1.5x_split_screen.mp4,396,13.2,642.3529,"[240, 780, 1440, 148]",.work/frames/imaging_0706/0706_3/frame_03.png
imaging_0706,imaging,0706_3,4,0706_123_1.5x_split_screen.mp4,540,18.0,530.5951,"[240, 780, 1440, 148]",.work/frames/imaging_0706/0706_3/frame_04.png
imaging_0706,imaging,0706_3,5,0706_123_1.5x_split_screen.mp4,588,19.6,601.5297,"[240, 780, 1440, 148]",.work/frames/imaging_0706/0706_3/frame_05.png
imaging_0706,imaging,0706_3,6,0706_123_1.5x_split_screen.mp4,756,25.2,300.8761,"[240, 780, 1440, 148]",.work/frames/imaging_0706/0706_3/frame_06.png
imaging_0718,imaging,0718_1,1,0718_123_split_screen.mp4,216,7.2,777.188,"[240, 48, 1440, 171]",.work/frames/imaging_0718/0718_1/frame_01.png
imaging_0718,imaging,0718_1,2,0718_123_split_screen.mp4,540,18.0,806.7183,"[240, 48, 1440, 171]",.work/frames/imaging_0718/0718_1/frame_02.png
